claim_id,submitted_date,department,employee_level,category,amount,policy_violation,reimbursed_days,vendor
EXP-000065,2025-07-05,finance,director,office,84.96,0,10,conference
EXP-000066,2025-11-21,sales,IC,software,105.62,0,10,office_depot
EXP-000067,2025-10-06,sales,IC,travel,41.12,0,10,saas
EXP-000068,2025-04-24,sales,director,office,32.3,0,6,airline
EXP-000069,2025-05-23,finance,vp,meals,51.35,0,3,restaurant
EXP-000070,2025-12-13,engineering,manager,software,88.1,0,9,office_depot
EXP-000071,2025-07-01,operations,vp,travel,79.35,0,9,office_depot
EXP-000072,2025-11-29,sales,IC,training,82.28,0,7,conference
EXP-000073,2025-06-20,operations,director,client_event,99.43,0,12,office_depot
EXP-000074,2025-01-19,sales,vp,client_event,81.68,0,12,conference
EXP-000075,2025-12-31,engineering,vp,meals,14.43,0,8,hotel
EXP-000076,2025-06-05,finance,director,travel,13.75,0,12,office_depot
EXP-000077,2026-01-05,engineering,IC,client_event,70.41,0,8,conference
EXP-000078,2025-04-27,finance,vp,office,12.46,0,4,saas
EXP-000079,2025-08-29,marketing,IC,training,51.79,0,4,office_depot
EXP-000080,2025-05-09,marketing,vp,meals,27.01,0,12,office_depot
EXP-000081,2025-08-01,marketing,IC,client_event,39.56,0,4,hotel
EXP-000082,2025-09-26,marketing,manager,office,101.51,0,9,airline
EXP-000083,2025-07-10,operations,manager,client_event,88.71,0,9,saas
EXP-000084,2025-12-18,marketing,vp,client_event,45.16,0,3,saas
EXP-000085,2025-11-05,marketing,vp,training,97.87,0,7,office_depot
EXP-000086,2025-03-04,sales,manager,software,167.24,0,9,conference
EXP-000087,2026-02-17,marketing,IC,client_event,174.88,0,5,saas
EXP-000088,2026-01-02,operations,IC,training,111.61,0,5,office_depot
EXP-000089,2025-08-02,finance,vp,training,77.44,0,6,office_depot
EXP-000090,2025-08-22,finance,IC,training,54.85,0,6,restaurant
EXP-000091,2025-02-09,operations,manager,client_event,35.14,0,5,hotel
EXP-000092,2025-10-09,sales,vp,travel,86.54,0,10,office_depot
EXP-000093,2025-05-21,finance,vp,training,35.02,0,3,conference
EXP-000094,2026-01-18,engineering,IC,meals,41.84,0,6,office_depot
EXP-000095,2025-07-26,finance,vp,training,18.87,0,10,saas
EXP-000096,2025-09-12,finance,vp,meals,143.7,0,5,airline
EXP-000097,2025-05-19,sales,IC,client_event,48.62,0,10,saas
EXP-000098,2026-01-20,marketing,vp,training,34.5,0,6,hotel
EXP-000099,2025-03-10,marketing,manager,training,55.43,0,4,airline
EXP-000100,2026-01-07,operations,manager,travel,21.66,0,11,restaurant
EXP-000101,2026-01-14,finance,vp,office,37.43,0,1,office_depot
EXP-000102,2025-06-25,engineering,vp,office,74.44,0,5,restaurant
EXP-000103,2026-01-17,marketing,director,client_event,48.27,0,8,hotel
EXP-000104,2025-09-02,finance,IC,client_event,44.95,0,7,saas
EXP-000105,2025-12-25,marketing,manager,travel,11.12,0,12,airline
EXP-000106,2026-01-24,marketing,IC,client_event,131.06,0,3,conference
EXP-000107,2026-01-10,finance,director,software,39.89,0,1,office_depot
EXP-000108,2026-01-14,sales,vp,software,203.95,0,3,restaurant
EXP-000109,2026-01-03,finance,IC,office,39.55,0,6,restaurant
EXP-000110,2025-05-17,finance,vp,office,33.99,0,5,saas
EXP-000111,2026-02-18,finance,director,office,54.75,0,8,office_depot
EXP-000112,2026-01-18,marketing,manager,meals,38.3,0,3,conference
EXP-000113,2025-12-24,sales,director,travel,15.79,0,11,office_depot
EXP-000114,2026-01-01,operations,vp,meals,30.92,0,8,conference
EXP-000115,2025-05-18,finance,manager,client_event,82.71,0,3,airline
EXP-000116,2026-01-01,finance,vp,training,35.71,0,12,restaurant
EXP-000117,2025-09-13,sales,IC,training,169.55,0,6,restaurant
EXP-000118,2025-12-02,operations,director,meals,56.4,0,7,saas
EXP-000119,2025-08-23,engineering,IC,travel,80.99,0,12,conference
EXP-000120,2025-05-07,finance,director,travel,50.61,0,5,restaurant
EXP-000121,2025-11-21,marketing,manager,training,121.83,0,3,conference
EXP-000122,2025-11-12,finance,vp,office,57.12,1,14,restaurant
EXP-000123,2025-09-11,sales,vp,software,42.6,0,7,airline
EXP-000124,2025-06-30,operations,vp,software,100.25,0,11,saas
EXP-000125,2025-02-23,marketing,vp,training,153.65,0,11,airline
EXP-000126,2026-01-12,sales,IC,client_event,22.07,0,5,airline
EXP-000127,2025-03-27,sales,manager,client_event,37.68,0,10,office_depot
EXP-000128,2025-07-26,operations,director,office,16.46,0,6,saas
EXP-000129,2025-02-21,engineering,manager,office,24.98,0,10,hotel
EXP-000130,2025-08-29,finance,IC,meals,17.62,0,10,hotel
EXP-000131,2025-03-18,engineering,IC,travel,104.92,0,4,restaurant
EXP-000132,2025-04-19,engineering,manager,office,57.4,0,8,restaurant
EXP-000133,2025-05-27,finance,manager,meals,160.0,0,4,airline
EXP-000134,2026-01-16,marketing,manager,meals,131.14,0,7,restaurant
EXP-000135,2025-02-11,engineering,manager,travel,42.18,0,7,airline
EXP-000136,2025-08-19,marketing,vp,office,174.17,0,7,hotel
EXP-000137,2025-08-18,marketing,director,training,42.63,0,9,office_depot
EXP-000138,2025-07-21,operations,manager,software,19.07,0,1,conference
EXP-000139,2026-02-09,operations,manager,meals,65.56,0,9,conference
EXP-000140,2025-09-12,finance,director,training,43.71,0,4,restaurant
EXP-000141,2025-12-14,finance,manager,client_event,27.16,0,4,airline
EXP-000142,2025-12-18,operations,director,software,42.86,0,6,saas
EXP-000143,2025-08-01,finance,IC,office,31.04,0,1,restaurant
EXP-000144,2025-03-02,operations,manager,travel,97.31,0,3,restaurant
EXP-000145,2025-03-22,finance,director,client_event,17.07,0,4,airline
EXP-000146,2025-02-27,finance,vp,travel,48.77,0,3,airline
EXP-000147,2025-07-02,engineering,vp,client_event,61.3,0,5,airline
EXP-000148,2025-12-12,finance,manager,office,31.3,0,3,restaurant
EXP-000149,2025-11-09,engineering,IC,software,184.92,0,5,airline
EXP-000150,2025-01-28,engineering,vp,meals,20.85,0,11,conference
EXP-000151,2026-02-06,finance,IC,office,79.65,0,3,hotel
EXP-000152,2025-10-20,finance,IC,meals,37.95,0,8,hotel
EXP-000153,2025-01-01,operations,vp,travel,98.77,0,10,hotel
EXP-000154,2025-12-18,operations,manager,training,27.38,0,7,restaurant
EXP-000155,2025-04-12,finance,IC,office,139.45,0,6,hotel
EXP-000156,2025-09-11,finance,vp,software,39.61,0,3,office_depot
EXP-000157,2025-12-21,marketing,IC,software,43.79,0,8,restaurant
EXP-000158,2025-09-26,sales,director,travel,169.55,0,13,conference
EXP-000159,2025-02-18,marketing,vp,client_event,115.75,0,7,restaurant
EXP-000160,2025-05-17,finance,manager,training,48.25,0,4,restaurant
EXP-000161,2026-02-20,marketing,director,client_event,59.4,0,9,conference
EXP-000162,2025-06-27,marketing,IC,travel,47.78,0,8,office_depot
EXP-000163,2025-12-20,marketing,vp,client_event,60.25,0,8,office_depot
EXP-000164,2025-10-07,finance,IC,travel,15.71,0,5,conference
EXP-000165,2025-10-15,sales,manager,office,46.36,0,5,saas
EXP-000166,2025-12-06,finance,director,client_event,42.81,0,4,airline
EXP-000167,2025-01-15,operations,manager,training,40.27,0,3,conference
EXP-000168,2025-11-30,engineering,manager,training,8,0,8,conference
EXP-000169,2025-01-31,finance,manager,travel,123.59,0,3,saas
EXP-000170,2025-05-29,marketing,vp,meals,79.87,0,1,restaurant
EXP-000171,2025-04-22,marketing,vp,software,46.97,0,9,restaurant
EXP-000172,2025-06-19,marketing,director,training,85.46,0,3,restaurant
EXP-000173,2025-07-30,sales,IC,meals,51.57,0,4,conference
EXP-000174,2025-07-20,finance,director,travel,102.85,0,4,saas
EXP-000175,2025-08-27,engineering,director,training,33.82,0,7,conference
EXP-000176,2025-02-16,sales,IC,office,30.34,0,3,office_depot
EXP-000177,2025-10-28,engineering,director,office,88.48,0,5,saas
EXP-000178,2025-08-02,finance,director,software,114.29,0,3,office_depot
EXP-000179,2025-03-05,engineering,IC,training,88.75,0,6,airline
EXP-000180,2025-09-30,marketing,manager,travel,42.73,0,3,hotel
EXP-000181,2026-01-30,engineering,IC,meals,61.95,0,5,conference
EXP-000182,2025-10-21,operations,IC,meals,37.89,0,8,office_depot
EXP-000183,2026-01-19,engineering,vp,travel,144.61,0,4,office_depot
EXP-000184,2025-06-26,finance,manager,meals,31.48,0,4,office_depot
EXP-000185,2025-01-11,sales,manager,training,262.54,0,7,hotel
EXP-000186,2025-09-19,marketing,vp,training,51.93,1,8,conference
EXP-000187,2025-11-29,sales,IC,office,11.48,0,11,hotel
EXP-000188,2025-04-29,engineering,manager,software,98.83,0,5,office_depot
EXP-000189,2025-03-09,sales,director,travel,28.25,0,11,airline
EXP-000190,2026-01-06,operations,vp,office,47.35,0,7,airline
EXP-000191,2025-08-02,finance,vp,training,46.42,0,7,conference
EXP-000192,2025-12-02,sales,director,travel,21.21,0,7,airline
EXP-000193,2025-09-06,marketing,director,client_event,36.62,0,8,restaurant
EXP-000194,2025-10-03,marketing,manager,travel,38.65,0,7,saas
EXP-000195,2025-01-28,engineering,vp,client_event,47.36,0,12,hotel
EXP-000196,2025-03-18,sales,director,meals,61.04,0,5,hotel
EXP-000197,2025-06-13,operations,IC,training,43.37,0,5,conference
EXP-000198,2025-06-29,sales,IC,travel,18.28,0,6,restaurant
EXP-000199,2025-04-29,marketing,manager,software,81.63,0,9,hotel
EXP-000200,2026-02-10,sales,director,client_event,32.85,0,6,saas
EXP-000201,2025-06-29,engineering,director,software,30.18,1,11,office_depot
EXP-000202,2025-01-07,marketing,manager,training,93.74,0,10,restaurant
EXP-000203,2025-06-07,finance,manager,training,149.55,0,6,restaurant
EXP-000204,2025-10-14,operations,manager,training,64.98,0,7,saas
EXP-000205,2025-08-01,marketing,director,software,66.62,0,6,conference
EXP-000206,2026-02-18,operations,director,office,278.79,0,9,saas
EXP-000207,2026-01-14,marketing,IC,client_event,85.53,0,5,conference
EXP-000208,2025-08-05,sales,IC,meals,33.25,0,6,hotel
EXP-000209,2025-08-21,engineering,director,meals,126.98,0,6,hotel
EXP-000210,2025-04-24,operations,manager,office,30.6,0,7,office_depot
EXP-000211,2025-10-10,operations,IC,software,81.55,0,6,hotel
EXP-000212,2025-05-28,sales,IC,client_event,82.66,0,8,saas
EXP-000213,2025-12-27,engineering,IC,software,160.33,0,6,saas
EXP-000214,2025-09-03,operations,director,client_event,28.48,0,9,airline
EXP-000215,2025-12-04,marketing,IC,training,87.22,0,6,saas
EXP-000216,2025-03-15,operations,manager,client_event,51.63,0,15,hotel
EXP-000217,2025-03-24,finance,manager,office,120.39,1,13,conference
EXP-000218,2025-11-24,finance,IC,office,100.38,0,8,hotel
EXP-000219,2025-12-04,engineering,manager,travel,63.81,0,10,restaurant
EXP-000220,2025-03-05,operations,IC,software,92.78,1,13,saas
EXP-000221,2025-11-14,sales,director,client_event,22.71,0,1,conference
EXP-000222,2025-11-09,engineering,director,software,37.06,0,9,hotel
EXP-000223,2025-01-10,finance,vp,meals,83.45,0,8,restaurant
EXP-000224,2025-02-18,operations,IC,office,292.53,0,3,hotel
EXP-000225,2025-05-28,marketing,IC,software,23.99,0,9,restaurant
EXP-000226,2025-03-27,sales,vp,client_event,67.17,0,9,airline
EXP-000227,2025-08-08,sales,director,client_event,85.64,0,9,conference
EXP-000228,2025-03-08,operations,director,software,46.73,0,11,airline
EXP-000229,2025-03-16,marketing,manager,meals,47.87,0,5,saas
EXP-000230,2025-11-23,marketing,manager,meals,21.9,0,6,conference
EXP-000231,2025-09-20,sales,director,client_event,53.92,0,11,office_depot
EXP-000232,2025-12-15,operations,vp,training,37.46,0,7,saas
EXP-000233,2025-07-14,engineering,IC,software,102.78,0,6,conference
EXP-000234,2025-10-27,engineering,director,travel,136.67,0,11,hotel
EXP-000235,2026-01-08,operations,manager,meals,88.32,0,11,saas
EXP-000236,2025-01-07,operations,IC,software,28.44,0,4,saas
EXP-000237,2025-09-19,operations,IC,training,54.8,1,11,restaurant
EXP-000238,2026-02-10,marketing,vp,software,45.46,0,4,conference
EXP-000239,2025-06-17,finance,vp,client_event,34.12,0,6,conference
EXP-000240,2025-06-18,engineering,vp,travel,72.93,0,4,restaurant
EXP-000241,2025-08-22,sales,IC,software,182.85,0,11,saas
EXP-000242,2025-09-03,engineering,manager,client_event,120.93,0,1,hotel
EXP-000243,2025-09-21,operations,IC,meals,22.72,0,9,restaurant
EXP-000244,2025-01-29,engineering,manager,training,43.65,0,5,conference
EXP-000245,2025-11-15,finance,director,office,32.47,0,3,restaurant
EXP-000246,2025-05-23,operations,vp,client_event,113.87,0,8,saas
EXP-000247,2025-09-21,engineering,IC,meals,386.02,1,8,airline
EXP-000248,2025-01-27,finance,manager,office,54.51,0,8,airline
EXP-000249,2025-06-20,engineering,IC,travel,46.52,0,1,airline
EXP-000250,2025-04-08,marketing,IC,software,35.46,0,6,office_depot
EXP-000251,2026-01-16,engineering,director,meals,28.71,0,9,restaurant
EXP-000252,2025-12-01,marketing,manager,meals,36.69,0,6,office_depot
EXP-000253,2025-03-10,finance,vp,office,82.3,0,6,hotel
EXP-000254,2025-07-09,engineering,director,meals,41.1,0,6,office_depot
EXP-000255,2025-08-14,marketing,manager,travel,137.46,0,1,airline
EXP-000256,2025-05-28,marketing,vp,travel,98.27,0,2,office_depot
EXP-000257,2025-02-08,engineering,director,software,47.85,0,6,office_depot
EXP-000258,2025-08-12,sales,vp,meals,20.95,0,4,saas
EXP-000259,2025-10-01,operations,IC,meals,48.5,0,7,hotel
EXP-000260,2025-06-22,finance,IC,meals,80.19,0,5,airline
EXP-000261,2025-02-10,finance,manager,software,37.02,0,3,hotel
EXP-000262,2025-06-20,finance,director,travel,14.77,0,6,restaurant
EXP-000263,2025-07-01,engineering,vp,client_event,78.52,0,11,restaurant
EXP-000264,2025-10-16,operations,vp,meals,48.73,0,6,hotel
EXP-000265,2026-01-07,engineering,IC,meals,35.71,0,5,saas
EXP-000266,2025-04-11,finance,director,office,25.39,0,3,saas
EXP-000267,2025-06-24,engineering,director,office,11.6,0,5,hotel
EXP-000268,2025-12-08,operations,manager,office,25.75,0,9,saas
EXP-000269,2025-01-25,finance,manager,client_event,36.96,0,1,office_depot
EXP-000270,2026-01-29,finance,director,office,166.12,0,6,saas
EXP-000271,2025-02-20,sales,manager,travel,45.08,0,2,airline
EXP-000272,2025-06-22,marketing,manager,office,50.2,0,10,restaurant
EXP-000273,2026-02-08,engineering,manager,office,58.29,0,11,conference
EXP-000274,2025-09-15,sales,director,office,51.22,0,9,saas
EXP-000275,2025-01-20,sales,IC,meals,240.53,1,12,airline
EXP-000276,2025-10-26,operations,vp,office,129.2,0,7,conference
EXP-000277,2026-02-11,operations,vp,client_event,42.51,0,8,airline
EXP-000278,2025-03-24,operations,IC,training,105.2,0,6,hotel
EXP-000279,2026-02-16,sales,vp,travel,145.57,0,9,office_depot
EXP-000280,2025-07-22,finance,vp,meals,34.37,0,4,airline
EXP-000281,2025-10-05,marketing,director,meals,144.46,0,4,office_depot
EXP-000282,2025-08-09,finance,vp,software,103.63,1,10,restaurant
EXP-000283,2025-10-10,marketing,IC,training,47.85,0,3,hotel
EXP-000284,2025-07-18,engineering,manager,software,28.49,0,2,hotel
EXP-000285,2025-03-18,marketing,manager,meals,53.41,0,8,office_depot
EXP-000286,2025-10-21,marketing,IC,travel,29.35,0,5,hotel
EXP-000287,2025-02-09,engineering,vp,software,49.47,0,7,saas
EXP-000288,2025-09-04,finance,manager,software,68.71,0,7,airline
EXP-000289,2025-07-30,engineering,vp,travel,70.82,0,1,conference
EXP-000290,2025-01-19,finance,vp,software,31.26,0,7,office_depot
EXP-000291,2026-02-19,engineering,vp,office,60.0,0,9,office_depot
EXP-000292,2025-12-15,sales,vp,office,54.3,0,6,conference
EXP-000293,2025-04-18,operations,IC,training,122.36,0,4,office_depot
EXP-000294,2025-03-12,marketing,vp,travel,93.4,0,4,conference
EXP-000295,2025-12-02,sales,director,training,21.84,0,6,saas
EXP-000296,2025-10-09,marketing,director,software,89.52,0,9,office_depot
EXP-000297,2025-07-10,marketing,vp,software,41.83,0,8,restaurant
EXP-000298,2025-04-10,sales,director,client_event,16.43,0,6,office_depot
EXP-000299,2025-05-15,engineering,manager,meals,75.34,0,5,restaurant
EXP-000300,2025-01-18,sales,IC,software,60.71,0,6,office_depot
EXP-000301,2025-03-19,finance,IC,training,34.82,0,10,conference
EXP-000302,2025-10-16,engineering,manager,meals,82.21,0,4,airline
EXP-000303,2025-03-04,engineering,IC,software,72.64,0,12,airline
EXP-000304,2025-09-19,marketing,manager,travel,52.61,0,13,saas
EXP-000305,2025-08-26,finance,vp,travel,44.58,0,9,hotel
EXP-000306,2026-02-20,operations,director,training,77.82,0,11,hotel
EXP-000307,2025-10-04,finance,IC,meals,83.34,0,8,office_depot
EXP-000308,2025-09-10,engineering,vp,client_event,96.33,0,10,hotel
EXP-000309,2025-07-05,finance,IC,meals,29.4,0,4,conference
EXP-000310,2025-11-16,operations,director,software,70.11,0,5,saas
EXP-000311,2025-12-19,finance,vp,travel,228.48,0,5,airline
EXP-000312,2025-11-09,finance,IC,software,44.06,0,7,office_depot
EXP-000313,2025-04-15,sales,IC,software,127.17,0,9,office_depot
EXP-000314,2025-01-31,operations,manager,training,28.41,0,6,restaurant
EXP-000315,2025-06-29,sales,manager,client_event,63.73,0,7,saas
EXP-000316,2025-03-26,finance,IC,office,36.43,0,7,hotel
EXP-000317,2025-11-05,operations,director,software,22.65,0,6,hotel
EXP-000318,2026-01-13,operations,director,meals,87.18,0,13,conference
EXP-000319,2025-12-11,engineering,manager,client_event,93.3,0,9,airline
EXP-000320,2025-06-28,sales,vp,training,49.36,0,6,conference
EXP-000321,2025-03-15,operations,vp,travel,51.16,1,12,restaurant
EXP-000322,2025-07-02,sales,manager,travel,42.37,0,11,airline
EXP-000323,2025-02-09,operations,IC,meals,23.94,0,6,conference
EXP-000324,2025-11-30,finance,vp,office,50.78,0,9,airline
EXP-000325,2025-05-12,finance,director,travel,39.15,0,3,hotel
EXP-000326,2025-07-17,marketing,manager,office,103.07,0,6,conference
EXP-000327,2025-04-07,engineering,IC,software,80.9,0,7,airline
EXP-000328,2025-12-20,marketing,IC,training,165.83,0,7,conference
EXP-000329,2025-10-23,marketing,manager,office,183.66,0,9,airline
EXP-000330,2025-06-26,sales,IC,client_event,95.42,0,7,airline
EXP-000331,2025-04-03,sales,IC,office,59.43,0,5,restaurant
EXP-000332,2025-05-22,operations,IC,client_event,315.83,0,4,conference
EXP-000333,2025-03-09,finance,vp,office,23.6,0,5,conference
EXP-000334,2025-09-20,sales,IC,meals,159.8,0,6,hotel
EXP-000335,2025-10-05,sales,manager,office,73.41,0,2,restaurant
EXP-000336,2025-07-12,engineering,IC,software,65.81,0,9,saas
EXP-000337,2025-02-27,operations,IC,office,58.31,0,6,office_depot
EXP-000338,2025-05-01,finance,director,software,287.52,0,3,airline
EXP-000339,2025-09-26,marketing,IC,training,50.42,0,7,conference
EXP-000340,2026-01-10,engineering,vp,client_event,106.44,0,1,restaurant
EXP-000341,2025-01-19,engineering,director,meals,13.6,0,6,hotel
EXP-000342,2025-08-13,sales,director,client_event,60.54,0,4,hotel
EXP-000343,2025-01-13,operations,IC,office,17.04,0,11,hotel
EXP-000344,2025-06-21,sales,IC,client_event,16.13,0,8,office_depot
EXP-000345,2025-09-23,marketing,director,travel,66.49,0,7,conference
EXP-000346,2025-03-31,sales,vp,training,97.54,0,8,conference
EXP-000347,2025-07-29,sales,IC,training,87.88,0,5,restaurant
EXP-000348,2025-07-16,marketing,director,office,34.03,0,4,saas
EXP-000349,2025-10-13,engineering,IC,client_event,70.09,0,2,saas
EXP-000350,2026-02-06,finance,manager,travel,131.72,0,4,airline
EXP-000351,2025-07-29,operations,manager,software,47.0,0,12,airline
EXP-000352,2025-07-05,engineering,director,travel,91.45,0,5,airline
EXP-000353,2025-06-16,operations,manager,training,221.81,0,14,office_depot
EXP-000354,2026-01-29,finance,director,office,199.22,0,7,office_depot
EXP-000355,2026-01-27,marketing,IC,travel,77.71,0,6,conference
EXP-000356,2025-01-30,sales,vp,meals,68.13,0,1,hotel
EXP-000357,2025-08-06,operations,director,client_event,92.87,0,4,saas
EXP-000358,2025-05-18,marketing,IC,training,36.53,0,8,airline
EXP-000359,2025-10-18,finance,manager,meals,98.74,1,10,conference
EXP-000360,2026-02-11,finance,vp,meals,34.3,0,8,saas
EXP-000361,2025-06-29,finance,vp,software,137.1,0,3,office_depot
EXP-000362,2025-04-17,engineering,vp,office,98.16,0,9,restaurant
EXP-000363,2025-12-19,operations,IC,travel,26.58,0,9,conference
EXP-000364,2025-10-16,engineering,vp,office,43.23,0,7,restaurant
EXP-000365,2025-10-30,marketing,vp,training,113.84,0,10,conference
EXP-000366,2025-04-21,sales,vp,office,121.82,0,12,saas
EXP-000367,2025-10-04,engineering,manager,client_event,96.65,0,3,restaurant
EXP-000368,2025-02-20,marketing,IC,meals,59.98,0,9,saas
EXP-000369,2025-03-28,sales,IC,client_event,288.64,0,7,conference
EXP-000370,2025-07-25,finance,director,office,29.86,0,9,hotel
EXP-000371,2025-04-04,engineering,director,client_event,124.82,1,13,airline
EXP-000372,2025-12-21,operations,manager,travel,263.82,0,8,hotel
EXP-000373,2025-08-17,sales,vp,meals,171.23,0,8,saas
EXP-000374,2025-07-04,sales,IC,software,21.15,0,1,saas
EXP-000375,2025-04-19,engineering,vp,office,55.22,0,6,saas
EXP-000376,2025-04-22,engineering,vp,meals,239.75,1,8,restaurant
EXP-000377,2026-01-03,engineering,IC,training,18.68,0,8,hotel
EXP-000378,2025-08-19,sales,manager,software,29.83,0,5,office_depot
EXP-000379,2026-01-03,marketing,director,travel,61.9,0,7,hotel
EXP-000380,2025-02-10,sales,vp,office,89.96,1,15,office_depot
EXP-000381,2025-03-11,operations,director,software,84.06,0,4,saas
EXP-000382,2026-01-26,finance,IC,travel,96.36,0,7,restaurant
EXP-000383,2025-07-24,finance,director,training,36.49,0,8,saas
EXP-000384,2026-01-02,marketing,manager,client_event,59.69,0,3,hotel
EXP-000385,2025-12-23,operations,IC,software,87.62,0,1,hotel
EXP-000386,2025-09-20,finance,vp,travel,11.95,0,10,office_depot
EXP-000387,2025-10-08,finance,IC,travel,237.42,0,6,office_depot
EXP-000388,2025-11-11,engineering,director,travel,102.6,0,8,hotel
EXP-000389,2025-12-11,sales,director,meals,36.32,0,11,airline
EXP-000390,2025-09-19,sales,director,meals,59.0,0,6,airline
EXP-000391,2025-03-19,engineering,director,software,48.27,0,6,hotel
EXP-000392,2025-11-22,operations,director,client_event,36.04,0,10,conference
EXP-000393,2025-10-20,marketing,IC,training,99.89,0,8,hotel
EXP-000394,2026-01-29,sales,director,travel,64.95,0,9,conference
EXP-000395,2025-05-10,sales,IC,office,177.17,0,7,office_depot
EXP-000396,2025-06-19,engineering,director,software,133.58,0,4,hotel
EXP-000397,2025-02-13,finance,manager,travel,105.13,1,11,restaurant
EXP-000398,2025-03-31,marketing,manager,software,132.17,0,9,airline
EXP-000399,2025-05-20,finance,manager,software,10.06,0,9,conference
EXP-000400,2025-11-16,sales,vp,office,161.14,0,6,saas
EXP-000401,2025-05-14,marketing,vp,client_event,76.27,0,5,airline
