lead_id,created_date,city,channel,property_type,budget,visits_scheduled,offer_made,closed_won,days_to_close
LED-000045,2025-12-06,Boston,walk_in,condo,932916,0,0,0,
LED-000046,2025-03-03,Austin,referral,condo,570959,0,0,0,
LED-000047,2025-03-23,Boston,walk_in,townhouse,738255,2,1,1,17
LED-000048,2025-05-03,Austin,portal,condo,807583,3,1,0,30
LED-000049,2025-07-30,Boston,walk_in,townhouse,994182,4,0,0,
LED-000050,2025-02-26,Seattle,walk_in,multi_family,513022,2,0,0,
LED-000051,2025-06-06,Miami,portal,condo,773603,0,0,0,
LED-000052,2025-09-14,Denver,referral,multi_family,328580,1,1,0,23
LED-000053,2025-08-30,Denver,referral,condo,594302,1,0,0,
LED-000054,2025-04-26,Boston,referral,condo,458040,2,0,0,
LED-000055,2025-06-05,Miami,paid_search,townhouse,600554,2,0,0,
LED-000056,2025-08-20,Boston,paid_search,condo,852885,4,1,0,21
LED-000057,2025-12-28,Austin,walk_in,single_family,702121,5,0,0,
LED-000058,2026-01-31,Miami,referral,townhouse,698190,1,0,0,
LED-000059,2025-07-20,Seattle,portal,single_family,635926,2,1,0,54
LED-000060,2026-01-26,Boston,paid_search,single_family,1071844,1,0,0,
LED-000061,2025-05-08,Boston,paid_search,multi_family,587536,3,1,0,12
LED-000062,2025-06-29,Boston,paid_search,townhouse,906340,3,0,0,
LED-000063,2026-02-23,Seattle,portal,multi_family,510601,3,0,0,
LED-000064,2026-01-07,Austin,portal,condo,410833,1,0,0,
LED-000065,2025-09-11,Boston,referral,multi_family,828082,4,1,0,8
LED-000066,2025-03-08,Austin,walk_in,townhouse,785096,3,0,0,
LED-000067,2025-02-18,Austin,walk_in,condo,593582,1,0,0,
LED-000068,2025-11-12,Denver,walk_in,townhouse,542317,2,0,0,
LED-000069,2025-12-31,Seattle,referral,townhouse,566665,3,0,0,
LED-000070,2025-11-22,Denver,walk_in,townhouse,547950,2,1,0,35
LED-000071,2025-07-04,Miami,portal,townhouse,700042,4,1,1,46
LED-000072,2026-01-08,Miami,referral,condo,1115527,2,0,0,
LED-000073,2025-02-24,Austin,portal,single_family,757966,1,0,0,
LED-000074,2025-09-29,Austin,paid_search,townhouse,569802,2,0,0,
LED-000075,2025-02-11,Miami,agent_network,condo,585148,3,0,0,
LED-000076,2025-12-05,Denver,paid_search,multi_family,1168216,4,0,0,
LED-000077,2025-11-28,Boston,agent_network,multi_family,756275,2,0,0,
LED-000078,2025-10-22,Miami,agent_network,condo,343486,2,0,0,
LED-000079,2025-11-29,Boston,walk_in,condo,971501,3,0,0,
LED-000080,2026-02-08,Seattle,walk_in,townhouse,459758,4,1,0,33
LED-000081,2026-02-19,Austin,referral,condo,630466,3,0,0,
LED-000082,2025-06-30,Seattle,portal,single_family,705949,3,0,0,
LED-000083,2025-01-19,Austin,referral,multi_family,573201,4,1,1,61
LED-000084,2026-02-20,Denver,referral,single_family,1130919,3,0,0,
LED-000085,2025-12-30,Seattle,agent_network,multi_family,841613,2,0,0,
LED-000086,2025-10-01,Austin,referral,single_family,680561,2,0,0,
LED-000087,2025-09-11,Seattle,agent_network,multi_family,465872,1,0,0,
LED-000088,2025-03-08,Austin,portal,single_family,859583,1,0,0,
LED-000089,2025-11-16,Seattle,walk_in,condo,825634,2,1,1,59
LED-000090,2025-08-06,Miami,agent_network,multi_family,879318,2,1,0,41
LED-000091,2025-11-12,Denver,portal,multi_family,762644,2,1,0,45
LED-000092,2025-01-10,Austin,walk_in,multi_family,792100,0,0,0,
LED-000093,2026-01-05,Austin,agent_network,condo,1063687,2,0,0,
LED-000094,2025-09-02,Austin,agent_network,multi_family,1176635,2,0,0,
LED-000095,2025-06-22,Denver,portal,condo,782624,1,0,0,
LED-000096,2025-10-30,Boston,portal,single_family,761992,2,1,1,15
LED-000097,2025-11-01,Austin,portal,single_family,780040,4,0,0,
LED-000098,2025-05-01,Boston,paid_search,condo,411707,1,0,0,
LED-000099,2025-09-25,Miami,referral,condo,1002754,6,0,0,
LED-000100,2025-06-17,Seattle,referral,townhouse,314513,2,1,0,19
LED-000101,2025-01-05,Denver,paid_search,multi_family,639261,3,0,0,
LED-000102,2025-10-30,Boston,referral,townhouse,682632,1,1,1,60
LED-000103,2026-02-14,Austin,referral,multi_family,1065265,1,0,0,
LED-000104,2025-06-13,Austin,referral,multi_family,983302,5,1,0,1
LED-000105,2026-02-21,Boston,portal,single_family,1069191,3,1,1,25
LED-000106,2025-09-21,Boston,referral,single_family,913698,2,0,0,
LED-000107,2025-06-26,Boston,agent_network,townhouse,599676,2,1,1,38
LED-000108,2025-05-28,Miami,paid_search,condo,354454,1,0,0,
LED-000109,2025-04-15,Seattle,agent_network,townhouse,359698,1,1,0,56
LED-000110,2025-02-02,Miami,walk_in,single_family,745379,2,0,0,
LED-000111,2025-08-03,Austin,agent_network,condo,679098,0,0,0,
LED-000112,2025-03-25,Denver,walk_in,townhouse,939696,2,0,0,
LED-000113,2025-11-09,Boston,paid_search,townhouse,775472,1,0,0,
LED-000114,2025-01-28,Seattle,walk_in,townhouse,1078709,0,0,0,
LED-000115,2025-05-05,Austin,agent_network,multi_family,352428,1,1,0,27
LED-000116,2025-05-04,Boston,walk_in,condo,802823,3,0,0,
LED-000117,2025-07-15,Boston,agent_network,townhouse,893857,2,0,0,
LED-000118,2025-06-26,Denver,walk_in,condo,617913,0,0,0,
LED-000119,2026-02-09,Seattle,paid_search,multi_family,463094,4,1,0,29
LED-000120,2025-04-16,Boston,portal,multi_family,799162,1,0,0,
LED-000121,2025-06-07,Austin,paid_search,single_family,390609,2,0,0,
LED-000122,2025-07-21,Seattle,agent_network,condo,766496,2,1,1,30
LED-000123,2025-03-04,Boston,agent_network,single_family,467269,0,0,0,
LED-000124,2025-05-27,Miami,paid_search,townhouse,1018092,2,1,0,1
LED-000125,2025-09-07,Miami,paid_search,single_family,524474,3,1,0,4
LED-000126,2026-01-18,Seattle,paid_search,townhouse,847500,2,0,0,
LED-000127,2025-09-20,Denver,portal,condo,425977,2,0,0,
LED-000128,2025-03-14,Boston,referral,single_family,603380,3,0,0,
LED-000129,2025-12-08,Denver,paid_search,townhouse,1135495,4,1,0,27
LED-000130,2026-01-21,Denver,referral,multi_family,1005072,1,0,0,
LED-000131,2025-09-25,Seattle,paid_search,townhouse,320603,2,0,0,
LED-000132,2025-02-23,Miami,referral,multi_family,600893,2,0,0,
LED-000133,2025-11-05,Miami,agent_network,townhouse,766562,0,0,0,
LED-000134,2025-08-27,Denver,paid_search,multi_family,859579,2,0,0,
LED-000135,2025-08-31,Miami,agent_network,single_family,790081,3,0,0,
LED-000136,2026-01-26,Denver,portal,condo,702597,1,1,1,11
LED-000137,2026-01-25,Denver,agent_network,multi_family,718438,0,0,0,
LED-000138,2025-07-20,Miami,referral,condo,245279,1,1,0,16
LED-000139,2025-04-26,Boston,paid_search,condo,766411,0,0,0,
LED-000140,2025-05-03,Miami,referral,condo,761139,1,0,0,
LED-000141,2025-07-02,Austin,referral,townhouse,422360,5,1,0,37
LED-000142,2025-03-05,Denver,paid_search,townhouse,885635,4,0,0,
LED-000143,2026-01-12,Boston,referral,condo,511323,3,0,0,
LED-000144,2025-12-01,Seattle,portal,condo,1018941,2,0,0,
LED-000145,2025-02-12,Miami,paid_search,single_family,929465,4,1,1,34
LED-000146,2025-03-21,Miami,referral,single_family,462838,0,0,0,
LED-000147,2025-07-09,Miami,paid_search,condo,895053,1,1,0,12
LED-000148,2025-07-23,Austin,portal,condo,736785,2,0,0,
LED-000149,2025-04-04,Denver,agent_network,single_family,1338391,3,1,1,42
LED-000150,2025-02-11,Seattle,referral,townhouse,445761,1,1,0,27
LED-000151,2025-01-26,Seattle,referral,single_family,754582,1,1,0,22
LED-000152,2025-08-10,Austin,paid_search,condo,333184,2,0,0,
LED-000153,2025-11-04,Seattle,walk_in,condo,759714,1,0,0,
LED-000154,2025-08-12,Seattle,agent_network,multi_family,719058,1,0,0,
LED-000155,2025-04-14,Austin,walk_in,multi_family,777847,4,1,1,20
LED-000156,2025-09-05,Miami,walk_in,condo,980752,5,1,1,41
LED-000157,2025-07-21,Boston,paid_search,multi_family,838471,3,0,0,
LED-000158,2025-10-07,Austin,referral,multi_family,297496,1,0,0,
LED-000159,2025-12-22,Austin,agent_network,condo,501102,2,0,0,
LED-000160,2025-05-10,Denver,paid_search,single_family,414345,1,0,0,
LED-000161,2026-02-16,Denver,agent_network,condo,523397,1,0,0,
LED-000162,2025-07-03,Seattle,paid_search,multi_family,868339,3,1,0,20
LED-000163,2025-11-21,Boston,agent_network,single_family,535410,0,0,0,
LED-000164,2025-01-20,Seattle,paid_search,multi_family,958019,3,0,0,
LED-000165,2025-10-30,Boston,portal,townhouse,408480,2,1,0,26
LED-000166,2025-08-24,Miami,paid_search,townhouse,1017275,2,1,0,39
LED-000167,2025-02-07,Seattle,referral,single_family,818168,1,1,0,5
LED-000168,2025-10-29,Boston,paid_search,townhouse,207544,3,0,0,
LED-000169,2025-05-16,Miami,paid_search,condo,861144,2,0,0,
LED-000170,2025-01-08,Denver,portal,single_family,1331242,3,0,0,
LED-000171,2025-01-15,Seattle,agent_network,single_family,822368,2,0,0,
LED-000172,2025-03-28,Boston,portal,single_family,972156,2,1,1,52
LED-000173,2025-09-14,Boston,portal,multi_family,1319673,3,0,0,
LED-000174,2025-05-21,Denver,walk_in,single_family,562917,0,0,0,
LED-000175,2026-01-06,Denver,walk_in,townhouse,620791,2,0,0,
LED-000176,2025-08-26,Denver,referral,single_family,551487,3,0,0,
LED-000177,2025-09-28,Boston,referral,condo,761616,0,0,0,
LED-000178,2025-09-22,Austin,portal,townhouse,462032,1,0,0,
LED-000179,2025-03-26,Seattle,agent_network,multi_family,400511,2,0,0,
LED-000180,2025-05-17,Austin,agent_network,townhouse,1140118,3,1,1,29
LED-000181,2026-01-27,Boston,referral,condo,531394,2,0,0,
LED-000182,2025-08-27,Miami,referral,townhouse,851823,1,1,0,11
LED-000183,2026-01-20,Seattle,portal,multi_family,1000542,3,1,0,27
LED-000184,2025-12-26,Boston,portal,multi_family,833513,1,0,0,
LED-000185,2025-08-11,Boston,paid_search,multi_family,632088,1,0,0,
LED-000186,2025-09-24,Boston,referral,townhouse,830410,1,1,0,20
LED-000187,2025-10-08,Seattle,paid_search,single_family,1010657,3,0,0,
LED-000188,2025-02-14,Boston,paid_search,townhouse,365154,0,0,0,
LED-000189,2026-01-07,Austin,referral,condo,594470,4,0,0,
LED-000190,2025-12-25,Austin,paid_search,multi_family,313486,1,0,0,
LED-000191,2025-05-23,Miami,portal,condo,536754,1,1,0,21
LED-000192,2025-09-22,Denver,agent_network,multi_family,521274,1,0,0,
LED-000193,2025-07-27,Miami,paid_search,condo,980580,2,0,0,
LED-000194,2025-02-24,Austin,paid_search,multi_family,794160,1,0,0,
LED-000195,2025-02-07,Seattle,agent_network,multi_family,603324,4,1,1,36
LED-000196,2025-01-25,Denver,paid_search,condo,766659,2,1,0,24
LED-000197,2025-05-21,Miami,walk_in,multi_family,857595,3,0,0,
LED-000198,2025-12-20,Boston,portal,condo,577707,2,0,0,
LED-000199,2025-05-02,Austin,paid_search,condo,448939,0,0,0,
LED-000200,2025-11-16,Austin,agent_network,multi_family,989846,3,1,1,28
LED-000201,2025-02-15,Miami,referral,townhouse,608029,2,0,0,
LED-000202,2025-11-29,Denver,paid_search,condo,779582,2,0,0,
LED-000203,2026-01-31,Denver,portal,townhouse,622544,2,1,1,48
LED-000204,2025-08-05,Boston,referral,multi_family,605119,2,0,0,
LED-000205,2025-03-26,Denver,paid_search,multi_family,576729,2,1,0,28
LED-000206,2025-02-12,Austin,referral,multi_family,541373,2,0,0,
LED-000207,2025-05-06,Denver,walk_in,townhouse,530160,0,0,0,
LED-000208,2025-10-07,Denver,paid_search,condo,1197278,1,0,0,
LED-000209,2025-08-27,Boston,walk_in,single_family,842726,0,0,0,
LED-000210,2025-09-26,Austin,portal,multi_family,770861,5,1,1,20
LED-000211,2025-10-23,Austin,paid_search,single_family,783510,3,1,0,31
LED-000212,2025-08-07,Seattle,walk_in,townhouse,480187,5,1,0,19
LED-000213,2025-02-24,Seattle,referral,condo,894702,4,0,0,
LED-000214,2025-04-27,Seattle,agent_network,condo,615115,0,0,0,
LED-000215,2025-06-24,Boston,portal,townhouse,528845,1,0,0,
LED-000216,2025-11-13,Denver,portal,townhouse,780345,2,0,0,
LED-000217,2025-05-26,Seattle,portal,multi_family,712726,2,0,0,
LED-000218,2025-07-06,Miami,referral,townhouse,620211,2,0,0,
LED-000219,2025-07-10,Seattle,agent_network,single_family,930540,3,0,0,
LED-000220,2026-02-08,Seattle,referral,townhouse,847816,3,0,0,
LED-000221,2026-02-15,Boston,agent_network,multi_family,379355,1,0,0,
LED-000222,2025-08-05,Boston,portal,single_family,985420,0,0,0,
LED-000223,2025-09-13,Denver,walk_in,single_family,555585,0,0,0,
LED-000224,2025-07-23,Austin,paid_search,multi_family,880119,0,0,0,
LED-000225,2025-01-15,Austin,referral,multi_family,919700,2,0,0,
LED-000226,2025-11-14,Denver,paid_search,condo,367305,1,0,0,
LED-000227,2025-09-18,Austin,portal,townhouse,714843,1,0,0,
LED-000228,2026-02-15,Denver,walk_in,multi_family,1123753,2,0,0,
LED-000229,2026-01-12,Miami,agent_network,townhouse,635591,2,1,1,26
LED-000230,2025-10-31,Austin,agent_network,multi_family,700781,1,0,0,
LED-000231,2025-11-16,Boston,agent_network,multi_family,792297,2,0,0,
LED-000232,2025-10-04,Boston,paid_search,condo,320352,0,0,0,
LED-000233,2025-04-15,Seattle,portal,condo,923379,4,0,0,
LED-000234,2025-02-18,Seattle,walk_in,townhouse,779904,1,0,0,
LED-000235,2025-11-07,Seattle,agent_network,single_family,867579,2,0,0,
LED-000236,2025-09-16,Austin,paid_search,single_family,1008937,4,0,0,
LED-000237,2025-02-17,Denver,portal,multi_family,806447,1,0,0,
LED-000238,2025-01-09,Seattle,walk_in,single_family,917511,3,0,0,
LED-000239,2025-10-02,Miami,agent_network,single_family,541011,1,0,0,
LED-000240,2025-03-11,Seattle,paid_search,condo,814147,2,1,0,56
LED-000241,2025-09-24,Miami,referral,multi_family,268762,0,0,0,
LED-000242,2025-02-16,Boston,portal,townhouse,618477,2,0,0,
LED-000243,2026-01-13,Boston,referral,condo,199070,2,1,1,2
LED-000244,2025-04-07,Denver,referral,single_family,422790,1,1,1,18
LED-000245,2025-01-02,Miami,agent_network,single_family,1020307,0,0,0,
LED-000246,2025-03-14,Miami,agent_network,condo,505912,1,1,0,32
LED-000247,2025-12-25,Seattle,referral,townhouse,787423,3,0,0,
LED-000248,2025-07-01,Miami,referral,multi_family,658965,4,1,0,30
LED-000249,2025-02-21,Denver,walk_in,condo,692948,0,0,0,
LED-000250,2025-02-21,Miami,portal,townhouse,767619,7,1,0,41
LED-000251,2025-02-10,Austin,paid_search,multi_family,379432,2,0,0,
LED-000252,2025-10-05,Denver,walk_in,townhouse,848076,3,0,0,
LED-000253,2025-07-01,Austin,walk_in,multi_family,1004920,4,0,0,
LED-000254,2025-06-20,Miami,walk_in,single_family,380106,2,0,0,
LED-000255,2026-02-09,Denver,walk_in,townhouse,876188,5,1,1,44
LED-000256,2025-11-10,Seattle,agent_network,condo,1151368,4,1,1,17
LED-000257,2025-12-05,Seattle,paid_search,townhouse,815100,0,0,0,
LED-000258,2025-11-14,Miami,paid_search,townhouse,785160,2,1,0,47
LED-000259,2025-08-12,Miami,agent_network,single_family,641122,1,0,0,
LED-000260,2026-01-10,Boston,agent_network,multi_family,657390,3,1,0,63
LED-000261,2025-09-10,Seattle,referral,condo,730695,1,1,1,3
LED-000262,2025-07-22,Boston,paid_search,townhouse,550748,2,0,0,
LED-000263,2026-02-13,Austin,walk_in,single_family,874347,1,0,0,
LED-000264,2025-07-15,Seattle,referral,townhouse,1136701,3,0,0,
LED-000265,2025-11-02,Austin,referral,townhouse,808284,2,0,0,
LED-000266,2025-02-08,Denver,portal,townhouse,664638,4,0,0,
LED-000267,2025-05-03,Seattle,referral,single_family,637300,0,0,0,
LED-000268,2026-01-15,Boston,agent_network,townhouse,956875,2,0,0,
LED-000269,2025-01-02,Boston,paid_search,townhouse,353185,1,0,0,
LED-000270,2025-05-03,Denver,portal,townhouse,983763,2,0,0,
LED-000271,2025-10-18,Seattle,agent_network,single_family,567297,1,0,0,
LED-000272,2025-11-26,Seattle,walk_in,multi_family,235488,2,0,0,
LED-000273,2025-01-03,Miami,walk_in,multi_family,464771,1,0,0,
LED-000274,2025-06-02,Seattle,paid_search,multi_family,602333,1,0,0,
LED-000275,2025-08-30,Austin,walk_in,townhouse,830699,3,0,0,
LED-000276,2025-04-30,Seattle,agent_network,condo,414361,2,0,0,
LED-000277,2026-02-16,Austin,agent_network,townhouse,294665,0,0,0,
LED-000278,2025-12-11,Miami,referral,condo,949473,4,0,0,
LED-000279,2025-07-19,Austin,paid_search,multi_family,731101,2,1,0,19
LED-000280,2025-05-28,Seattle,referral,multi_family,1172421,6,0,0,
LED-000281,2025-01-30,Miami,agent_network,townhouse,301396,3,1,1,1
LED-000282,2026-02-06,Seattle,portal,condo,800995,1,0,0,
LED-000283,2025-01-12,Seattle,portal,multi_family,708752,2,1,0,22
LED-000284,2025-03-11,Seattle,referral,multi_family,662818,4,1,0,65
LED-000285,2025-06-11,Boston,walk_in,condo,663886,2,0,0,
LED-000286,2025-05-21,Denver,portal,multi_family,429368,1,0,0,
LED-000287,2025-03-06,Miami,referral,condo,467658,3,0,0,
LED-000288,2025-01-16,Boston,referral,multi_family,464650,4,0,0,
LED-000289,2025-02-23,Boston,agent_network,single_family,497209,2,0,0,
LED-000290,2025-04-11,Austin,referral,single_family,889939,3,0,0,
LED-000291,2025-01-23,Boston,walk_in,townhouse,790671,1,0,0,
LED-000292,2025-05-15,Austin,portal,multi_family,712729,0,0,0,
LED-000293,2025-01-28,Boston,paid_search,single_family,703991,3,0,0,
LED-000294,2025-07-21,Miami,walk_in,single_family,613717,0,0,0,
LED-000295,2025-06-30,Seattle,portal,single_family,626520,1,1,1,30
LED-000296,2025-02-05,Denver,portal,townhouse,671181,2,1,1,39
LED-000297,2026-01-04,Seattle,walk_in,condo,527609,3,0,0,
LED-000298,2026-02-10,Boston,paid_search,single_family,594903,4,1,1,32
LED-000299,2025-10-29,Miami,paid_search,condo,906483,2,0,0,
LED-000300,2025-10-15,Seattle,referral,townhouse,742006,3,1,1,14
LED-000301,2025-06-28,Boston,walk_in,multi_family,1008663,1,0,0,
LED-000302,2025-06-13,Denver,portal,single_family,895240,3,1,0,75
LED-000303,2025-04-12,Miami,paid_search,townhouse,623831,2,0,0,
LED-000304,2025-11-05,Austin,portal,single_family,784831,0,0,0,
LED-000305,2025-06-10,Seattle,portal,condo,1274216,2,1,0,37
LED-000306,2025-08-11,Miami,paid_search,multi_family,911489,2,0,0,
LED-000307,2026-02-09,Seattle,referral,condo,566297,3,1,0,1
LED-000308,2025-06-24,Miami,portal,multi_family,793973,0,0,0,
LED-000309,2025-05-16,Miami,paid_search,townhouse,412210,2,1,1,48
LED-000310,2026-02-07,Seattle,paid_search,townhouse,1032693,3,1,0,30
LED-000311,2025-07-15,Denver,referral,multi_family,1284147,3,0,0,
LED-000312,2025-12-31,Miami,paid_search,townhouse,820512,1,0,0,
LED-000313,2026-02-08,Miami,referral,multi_family,432983,1,1,0,55
LED-000314,2025-08-14,Denver,paid_search,single_family,1156291,2,0,0,
LED-000315,2025-01-10,Austin,referral,condo,242632,1,0,0,
LED-000316,2026-01-20,Austin,walk_in,single_family,1014913,1,0,0,
LED-000317,2025-04-19,Miami,walk_in,multi_family,428765,2,0,0,
LED-000318,2026-02-15,Austin,portal,townhouse,803780,1,0,0,
LED-000319,2025-12-06,Denver,agent_network,single_family,395325,3,1,0,27
LED-000320,2025-09-13,Denver,paid_search,townhouse,976512,2,1,0,44
LED-000321,2025-08-22,Austin,agent_network,multi_family,500024,2,0,0,
LED-000322,2025-01-05,Boston,portal,townhouse,857839,3,0,0,
LED-000323,2025-06-05,Austin,paid_search,multi_family,1013703,3,1,0,39
LED-000324,2025-12-10,Denver,referral,single_family,304000,3,0,0,
LED-000325,2025-02-09,Miami,agent_network,condo,469109,2,0,0,
LED-000326,2025-04-21,Seattle,agent_network,single_family,892338,2,0,0,
LED-000327,2025-06-27,Miami,paid_search,multi_family,927359,4,0,0,
LED-000328,2025-09-24,Austin,referral,condo,1080435,4,0,0,
LED-000329,2025-04-07,Seattle,agent_network,single_family,742588,3,0,0,
LED-000330,2025-07-12,Miami,paid_search,multi_family,934693,3,0,0,
LED-000331,2025-07-07,Austin,referral,townhouse,534593,1,0,0,
LED-000332,2025-07-01,Boston,agent_network,townhouse,849529,4,1,0,35
LED-000333,2025-06-06,Miami,paid_search,multi_family,298139,0,0,0,
LED-000334,2025-09-29,Austin,portal,multi_family,855377,0,0,0,
LED-000335,2025-03-06,Boston,referral,townhouse,705158,3,1,0,34
LED-000336,2025-05-25,Seattle,agent_network,single_family,528477,1,0,0,
LED-000337,2025-09-18,Miami,referral,multi_family,862539,1,0,0,
LED-000338,2025-03-13,Denver,referral,townhouse,730573,2,1,0,31
LED-000339,2026-02-08,Seattle,agent_network,single_family,590902,3,0,0,
LED-000340,2025-08-28,Denver,portal,multi_family,994713,2,0,0,
LED-000341,2026-01-21,Seattle,paid_search,townhouse,1129587,3,0,0,
LED-000342,2025-04-18,Boston,walk_in,townhouse,572719,1,0,0,
LED-000343,2025-06-13,Boston,paid_search,townhouse,310336,3,1,0,41
LED-000344,2025-01-11,Denver,agent_network,single_family,789664,2,0,0,
LED-000345,2025-05-30,Austin,portal,multi_family,751311,1,0,0,
LED-000346,2025-08-02,Seattle,agent_network,multi_family,586573,4,0,0,
LED-000347,2025-08-29,Denver,walk_in,condo,888534,2,0,0,
LED-000348,2025-09-26,Miami,paid_search,townhouse,276551,1,0,0,
LED-000349,2025-11-09,Denver,portal,multi_family,889122,2,0,0,
LED-000350,2025-03-26,Austin,referral,single_family,614045,2,0,0,
LED-000351,2025-05-16,Austin,referral,townhouse,660619,3,0,0,
LED-000352,2025-10-28,Denver,walk_in,single_family,557161,1,1,0,45
LED-000353,2025-01-09,Seattle,paid_search,single_family,585884,2,0,0,
LED-000354,2025-08-13,Denver,referral,condo,501140,2,0,0,
LED-000355,2025-05-23,Miami,agent_network,single_family,615752,1,0,0,
LED-000356,2026-01-07,Miami,agent_network,multi_family,143818,1,1,1,17
LED-000357,2026-02-17,Denver,portal,single_family,773613,1,0,0,
LED-000358,2025-03-07,Boston,agent_network,multi_family,524850,2,0,0,
LED-000359,2025-02-10,Denver,portal,single_family,279125,0,0,0,
LED-000360,2025-12-10,Miami,agent_network,multi_family,886798,0,0,0,
LED-000361,2025-10-24,Boston,agent_network,multi_family,653590,1,0,0,
LED-000362,2025-05-17,Boston,referral,townhouse,358376,2,0,0,
LED-000363,2025-12-27,Austin,agent_network,single_family,503231,2,0,0,
LED-000364,2025-10-06,Austin,referral,townhouse,750019,4,0,0,
LED-000365,2025-03-30,Boston,portal,condo,1151632,2,0,0,
LED-000366,2026-02-23,Denver,agent_network,condo,685918,1,0,0,
LED-000367,2026-01-26,Seattle,walk_in,townhouse,866962,2,0,0,
LED-000368,2026-01-09,Austin,portal,single_family,799654,2,1,0,46
LED-000369,2025-05-24,Boston,portal,condo,744678,2,0,0,
LED-000370,2025-05-12,Seattle,portal,single_family,898587,1,0,0,
LED-000371,2025-12-22,Denver,walk_in,single_family,560439,2,1,0,2
LED-000372,2025-07-07,Denver,paid_search,multi_family,721822,3,0,0,
LED-000373,2025-11-29,Boston,paid_search,single_family,371791,3,0,0,
LED-000374,2026-02-14,Boston,referral,multi_family,646168,0,0,0,
LED-000375,2026-01-01,Miami,paid_search,condo,1081389,4,0,0,
LED-000376,2025-02-03,Denver,portal,condo,498008,4,1,1,38
LED-000377,2025-02-16,Boston,paid_search,townhouse,912250,2,0,0,
LED-000378,2025-02-11,Denver,walk_in,multi_family,1319144,3,0,0,
LED-000379,2025-02-05,Miami,agent_network,single_family,822878,2,0,0,
LED-000380,2025-02-12,Seattle,portal,multi_family,712804,3,1,0,48
LED-000381,2025-02-26,Miami,walk_in,condo,1191417,4,1,0,27
LED-000382,2025-07-04,Denver,agent_network,townhouse,801097,2,0,0,
LED-000383,2025-06-05,Boston,walk_in,multi_family,595083,1,0,0,
LED-000384,2025-12-22,Denver,portal,multi_family,451811,0,0,0,
LED-000385,2025-01-17,Miami,referral,multi_family,674597,1,1,0,16
