shipment_id,ship_date,origin,destination_region,carrier,promised_days,actual_days,weight_kg,shipping_cost,late_flag,damage_claim
SHP-000044,2026-01-19,Chicago,central,swiftline,5,6,277.7,234.54,1,0
SHP-000045,2025-11-23,Dallas,apac,airbridge,5,3,50.3,58.03,0,0
SHP-000046,2025-09-13,Dallas,east,swiftline,7,9,467.5,694.63,1,0
SHP-000047,2025-11-01,LA,central,swiftline,10,10,842.1,416.66,0,0
SHP-000048,2025-05-05,Dallas,central,northstar,5,4,445.0,756.86,0,0
SHP-000049,2025-11-24,Dallas,east,oceanic,10,11,247.9,267.95,1,0
SHP-000050,2025-11-22,Rotterdam,emea,airbridge,5,2,687.5,893.63,0,0
SHP-000051,2025-03-26,Rotterdam,east,swiftline,5,4,485.1,600.22,0,0
SHP-000052,2025-07-10,Shanghai,emea,oceanic,10,14,759.0,1128.05,1,0
SHP-000053,2025-01-20,Rotterdam,west,oceanic,7,4,845.7,1185.27,0,0
SHP-000054,2025-07-09,Dallas,emea,northstar,5,5,234.6,199.81,0,0
SHP-000055,2025-09-08,Shanghai,emea,oceanic,5,5,789.5,1303.69,0,0
SHP-000056,2025-01-27,Chicago,east,swiftline,2,2,335.3,562.78,0,0
SHP-000057,2025-02-18,Shanghai,west,airbridge,3,2,455.0,547.38,0,0
SHP-000058,2025-05-30,Shanghai,east,swiftline,5,6,672.3,902.88,1,0
SHP-000059,2025-09-21,LA,emea,airbridge,2,1,347.9,443.07,0,0
SHP-000060,2025-05-07,LA,apac,oceanic,5,7,856.7,545.8,1,0
SHP-000061,2026-01-19,Shanghai,emea,swiftline,7,5,583.6,853.39,0,0
SHP-000062,2025-09-29,Rotterdam,central,oceanic,10,9,343.0,327.7,0,0
SHP-000063,2025-03-08,LA,apac,oceanic,5,8,537.1,231.69,1,0
SHP-000064,2026-01-17,LA,east,northstar,5,2,490.9,576.23,0,0
SHP-000065,2025-05-05,Rotterdam,east,oceanic,10,12,837.2,820.99,1,0
SHP-000066,2025-10-07,Shanghai,emea,northstar,10,9,848.0,1029.63,0,0
SHP-000067,2025-12-27,Shanghai,central,airbridge,5,3,629.8,814.98,0,0
SHP-000068,2025-08-11,Rotterdam,east,northstar,10,11,757.8,853.07,1,0
SHP-000069,2025-08-18,Shanghai,west,northstar,7,7,753.0,474.45,0,0
SHP-000070,2025-09-11,Rotterdam,apac,airbridge,3,1,195.1,299.35,0,0
SHP-000071,2025-12-27,Rotterdam,west,swiftline,5,4,775.8,1282.22,0,0
SHP-000072,2025-11-06,LA,west,northstar,10,9,458.8,486.75,0,0
SHP-000073,2025-08-20,LA,central,airbridge,5,4,146.7,127.74,0,0
SHP-000074,2025-01-28,Dallas,west,airbridge,5,6,395.7,361.56,1,0
SHP-000075,2025-11-02,Rotterdam,east,northstar,2,1,156.8,76.74,0,0
SHP-000076,2025-06-02,Rotterdam,apac,swiftline,3,3,53.0,124.18,0,0
SHP-000077,2025-07-29,Shanghai,emea,swiftline,2,1,248.3,416.57,0,0
SHP-000078,2025-10-05,Dallas,west,swiftline,2,1,734.3,634.25,0,0
SHP-000079,2025-05-18,Shanghai,apac,swiftline,10,9,719.8,572.04,0,0
SHP-000080,2025-08-28,Dallas,apac,swiftline,2,1,701.9,990.37,0,0
SHP-000081,2025-10-10,Dallas,east,northstar,3,5,497.2,339.72,1,0
SHP-000082,2025-02-13,Chicago,central,airbridge,10,8,682.3,484.72,0,0
SHP-000083,2025-12-26,Chicago,central,northstar,10,11,141.1,197.23,1,1
SHP-000084,2026-01-24,Shanghai,west,airbridge,10,10,757.3,773.3,0,0
SHP-000085,2025-12-21,LA,east,airbridge,5,4,610.8,646.89,0,0
SHP-000086,2025-06-12,Rotterdam,central,swiftline,7,9,81.8,191.73,1,0
SHP-000087,2025-05-22,Rotterdam,apac,oceanic,2,5,127.0,229.32,1,0
SHP-000088,2025-03-29,Rotterdam,west,oceanic,10,12,248.0,503.41,1,0
SHP-000089,2026-01-11,Chicago,west,northstar,2,2,30.3,44.93,0,0
SHP-000090,2025-03-27,LA,east,airbridge,3,5,370.3,634.03,1,0
SHP-000091,2025-07-22,LA,apac,airbridge,7,10,789.3,1104.0,1,0
SHP-000092,2025-05-20,Chicago,apac,northstar,5,7,434.3,255.68,1,0
SHP-000093,2025-12-12,Rotterdam,central,swiftline,2,1,293.2,225.32,0,0
SHP-000094,2025-11-21,Dallas,apac,oceanic,7,6,817.8,912.64,0,0
SHP-000095,2026-01-23,Chicago,central,airbridge,3,4,706.3,525.48,1,0
SHP-000096,2025-09-12,Dallas,west,airbridge,7,9,772.9,330.13,1,0
SHP-000097,2025-08-21,Chicago,east,airbridge,2,6,469.9,322.46,1,0
SHP-000098,2025-06-29,Rotterdam,east,northstar,5,1,293.9,226.57,0,0
SHP-000099,2025-06-27,Shanghai,east,airbridge,3,3,654.0,540.92,0,0
SHP-000100,2025-10-26,Shanghai,east,airbridge,3,4,107.9,205.51,1,0
SHP-000101,2025-11-14,LA,east,northstar,10,8,725.5,812.09,0,0
SHP-000102,2025-10-27,Rotterdam,central,oceanic,7,8,395.9,661.22,1,0
SHP-000103,2025-07-03,Dallas,emea,northstar,7,6,252.8,321.92,0,0
SHP-000104,2025-06-30,Dallas,emea,oceanic,5,5,517.2,890.35,0,0
SHP-000105,2025-05-30,Rotterdam,emea,swiftline,2,1,147.1,147.42,0,0
SHP-000106,2025-08-21,LA,emea,oceanic,3,4,453.3,294.26,1,0
SHP-000107,2025-08-29,Shanghai,apac,oceanic,7,7,811.4,383.64,0,0
SHP-000108,2025-03-31,Chicago,central,northstar,7,5,319.5,273.0,0,0
SHP-000109,2025-12-23,Shanghai,west,airbridge,10,11,91.5,124.11,1,0
SHP-000110,2025-04-19,Chicago,emea,swiftline,2,4,463.4,486.94,1,0
SHP-000111,2025-11-01,Rotterdam,east,northstar,5,5,439.8,656.47,0,0
SHP-000112,2025-11-22,Dallas,east,swiftline,10,10,777.2,855.22,0,0
SHP-000113,2025-07-29,Chicago,central,swiftline,5,1,519.5,177.76,0,0
SHP-000114,2025-10-25,LA,emea,airbridge,3,5,765.0,1061.62,1,0
SHP-000115,2025-07-25,Dallas,central,oceanic,3,5,47.2,75.41,1,0
SHP-000116,2025-09-11,LA,emea,airbridge,2,3,822.7,1039.24,1,0
SHP-000117,2025-03-24,Chicago,apac,swiftline,7,6,629.8,543.84,0,0
SHP-000118,2025-11-14,Rotterdam,west,airbridge,5,7,179.6,232.41,1,0
SHP-000119,2025-11-18,Rotterdam,central,airbridge,7,5,700.8,1020.32,0,0
SHP-000120,2025-02-18,Chicago,east,northstar,10,10,53.9,139.55,0,0
SHP-000121,2025-04-30,Chicago,emea,swiftline,3,4,42.5,58.51,1,0
SHP-000122,2025-10-25,Rotterdam,apac,oceanic,3,4,606.3,971.5,1,0
SHP-000123,2025-02-22,Chicago,central,airbridge,7,5,42.7,117.03,0,0
SHP-000124,2025-03-17,LA,apac,northstar,7,6,143.5,239.18,0,0
SHP-000125,2025-08-08,Dallas,apac,oceanic,2,2,428.8,446.06,0,0
SHP-000126,2025-04-20,Chicago,central,airbridge,3,1,709.1,863.85,0,0
SHP-000127,2025-07-21,LA,central,swiftline,2,1,515.6,251.65,0,0
SHP-000128,2025-04-28,LA,east,swiftline,2,1,421.6,522.27,0,0
SHP-000129,2026-01-18,LA,emea,oceanic,2,3,439.0,174.29,1,0
SHP-000130,2025-04-30,Shanghai,emea,oceanic,10,11,272.3,252.45,1,0
SHP-000131,2025-11-06,Chicago,emea,oceanic,7,7,421.4,297.71,0,0
SHP-000132,2025-12-30,LA,east,oceanic,10,11,839.1,881.41,1,0
SHP-000133,2025-11-22,LA,central,oceanic,2,1,253.1,254.92,0,0
SHP-000134,2025-04-20,Chicago,emea,swiftline,5,3,608.8,216.49,0,0
SHP-000135,2026-01-02,Dallas,apac,swiftline,10,10,559.6,752.88,0,0
SHP-000136,2025-04-01,Chicago,east,airbridge,2,2,608.5,940.2,0,0
SHP-000137,2025-03-25,Dallas,central,northstar,10,6,573.3,537.17,0,0
SHP-000138,2026-02-20,Chicago,apac,swiftline,7,4,207.1,286.29,0,0
SHP-000139,2025-08-04,Rotterdam,west,northstar,2,4,608.5,963.8,1,0
SHP-000140,2025-12-03,Dallas,central,swiftline,2,1,374.3,518.66,0,0
SHP-000141,2025-10-18,Dallas,apac,northstar,10,10,337.0,421.64,0,0
SHP-000142,2026-02-23,Chicago,central,northstar,7,9,821.0,1103.85,1,0
SHP-000143,2025-12-15,Chicago,west,northstar,3,1,507.3,671.97,0,0
SHP-000144,2025-08-28,Shanghai,apac,northstar,7,7,235.0,173.14,0,0
SHP-000145,2025-01-15,Rotterdam,east,northstar,5,5,425.5,260.38,0,0
SHP-000146,2025-08-19,Rotterdam,west,northstar,5,2,469.6,372.88,0,0
SHP-000147,2025-09-22,Dallas,apac,northstar,2,2,113.1,195.12,0,0
SHP-000148,2025-04-17,Dallas,central,airbridge,3,1,207.2,308.56,0,0
SHP-000149,2025-05-29,LA,west,airbridge,7,7,638.7,476.72,0,0
SHP-000150,2025-04-02,Chicago,east,northstar,10,10,388.0,582.62,0,0
SHP-000151,2025-02-18,Rotterdam,west,swiftline,10,11,615.9,1103.81,1,0
SHP-000152,2025-03-30,Rotterdam,east,northstar,7,6,51.9,93.36,0,0
SHP-000153,2025-10-31,Rotterdam,east,swiftline,3,1,673.8,388.44,0,0
SHP-000154,2025-12-14,LA,central,oceanic,7,10,803.5,899.1,1,0
SHP-000155,2025-04-17,Shanghai,central,swiftline,2,3,396.5,573.93,1,0
SHP-000156,2025-11-23,LA,east,airbridge,3,2,493.3,685.51,0,0
SHP-000157,2025-10-13,LA,east,swiftline,5,6,556.6,928.25,1,0
SHP-000158,2025-03-18,Shanghai,emea,swiftline,5,2,719.4,1061.83,0,0
SHP-000159,2025-10-13,Shanghai,west,airbridge,10,7,189.8,279.63,0,0
SHP-000160,2025-02-26,Chicago,central,airbridge,7,8,44.8,141.97,1,0
SHP-000161,2025-01-30,Shanghai,emea,northstar,10,12,39.9,161.17,1,0
SHP-000162,2025-09-28,Dallas,emea,airbridge,10,12,616.1,725.12,1,0
SHP-000163,2026-01-28,Rotterdam,emea,oceanic,10,13,421.7,723.64,1,0
SHP-000164,2025-04-14,Chicago,east,northstar,3,2,663.2,557.74,0,0
SHP-000165,2025-12-01,Shanghai,emea,northstar,7,6,241.4,397.45,0,0
SHP-000166,2025-05-25,Shanghai,apac,oceanic,5,6,517.8,474.4,1,0
SHP-000167,2025-04-07,Chicago,emea,airbridge,10,7,421.0,442.48,0,0
SHP-000168,2025-03-05,Dallas,east,swiftline,7,7,298.9,396.05,0,0
SHP-000169,2026-01-15,Rotterdam,west,airbridge,3,5,575.9,943.44,1,0
SHP-000170,2025-01-03,Chicago,east,airbridge,7,9,236.0,467.18,1,0
SHP-000171,2026-02-18,Shanghai,central,swiftline,2,1,196.6,96.17,0,0
SHP-000172,2026-02-13,Rotterdam,apac,swiftline,2,1,562.9,322.61,0,0
SHP-000173,2025-04-05,Rotterdam,east,northstar,3,1,303.7,463.03,0,0
SHP-000174,2025-08-01,Dallas,west,northstar,3,4,512.8,679.16,1,0
SHP-000175,2025-05-27,Rotterdam,east,northstar,7,7,839.8,461.25,0,0
SHP-000176,2025-10-28,Dallas,east,northstar,2,3,417.0,698.54,1,0
SHP-000177,2025-10-26,LA,west,northstar,5,7,138.3,263.77,1,0
SHP-000178,2025-11-20,Dallas,west,oceanic,2,3,479.0,763.06,1,0
SHP-000179,2025-07-09,Chicago,apac,airbridge,7,6,828.9,842.41,0,0
SHP-000180,2025-05-15,Rotterdam,central,swiftline,3,1,563.6,500.77,0,0
SHP-000181,2025-03-21,Dallas,east,northstar,5,2,71.8,149.23,0,0
SHP-000182,2025-05-04,Shanghai,apac,northstar,7,9,863.0,885.36,1,0
SHP-000183,2026-01-12,Dallas,east,northstar,3,5,285.5,196.75,1,0
SHP-000184,2025-08-26,Dallas,west,oceanic,2,2,129.7,69.11,0,0
SHP-000185,2025-05-28,LA,central,swiftline,10,10,540.9,918.51,0,0
SHP-000186,2025-07-31,Chicago,central,northstar,7,6,13.7,68.79,0,0
SHP-000187,2025-10-06,Dallas,emea,swiftline,3,2,33.9,75.57,0,0
SHP-000188,2025-12-04,LA,central,oceanic,5,6,203.5,352.78,1,0
SHP-000189,2025-12-23,Dallas,central,airbridge,2,1,180.9,260.39,0,0
SHP-000190,2025-04-06,Dallas,west,airbridge,5,6,702.4,900.69,1,0
SHP-000191,2025-12-17,Rotterdam,west,airbridge,7,10,536.0,671.99,1,0
SHP-000192,2025-08-30,Dallas,east,northstar,10,6,854.4,1461.76,0,0
SHP-000193,2025-10-29,Chicago,emea,swiftline,7,6,460.7,330.24,0,0
SHP-000194,2025-02-15,Shanghai,apac,airbridge,2,3,64.5,116.85,1,0
SHP-000195,2025-05-28,Chicago,apac,swiftline,5,3,528.7,396.7,0,0
SHP-000196,2025-01-24,LA,emea,airbridge,2,3,499.0,724.53,1,0
SHP-000197,2026-01-21,Chicago,west,airbridge,7,8,785.2,1345.05,1,0
SHP-000198,2025-01-04,Dallas,east,oceanic,10,12,566.0,940.24,1,0
SHP-000199,2025-07-03,Dallas,emea,northstar,7,5,736.1,953.19,0,0
SHP-000200,2025-12-08,Chicago,west,airbridge,2,2,380.1,483.65,0,0
SHP-000201,2025-05-09,Shanghai,apac,northstar,5,9,717.3,747.79,1,0
SHP-000202,2025-09-04,Chicago,central,northstar,5,3,146.8,92.8,0,0
SHP-000203,2025-12-05,Shanghai,central,airbridge,10,10,260.2,450.31,0,0
SHP-000204,2025-11-04,Chicago,central,northstar,2,1,171.2,222.73,0,0
SHP-000205,2025-05-15,Dallas,emea,oceanic,7,6,570.3,498.5,0,0
SHP-000206,2025-02-23,Dallas,east,swiftline,2,1,453.9,555.7,0,0
SHP-000207,2025-03-03,LA,emea,northstar,7,5,632.0,402.63,0,0
SHP-000208,2025-10-30,Chicago,east,swiftline,5,4,485.4,330.63,0,0
SHP-000209,2026-01-22,Dallas,apac,airbridge,2,1,760.7,762.22,0,0
SHP-000210,2025-05-20,Chicago,apac,oceanic,10,10,208.9,336.73,0,0
SHP-000211,2025-11-27,Dallas,emea,northstar,2,2,329.6,393.81,0,0
SHP-000212,2025-09-19,Rotterdam,apac,northstar,7,7,542.3,381.19,0,0
SHP-000213,2025-06-08,Shanghai,east,swiftline,5,3,240.9,423.02,0,0
SHP-000214,2025-11-16,Chicago,central,airbridge,5,3,265.4,303.85,0,0
SHP-000215,2026-02-21,Rotterdam,west,oceanic,10,11,477.9,796.62,1,0
SHP-000216,2025-01-14,Rotterdam,east,swiftline,5,4,858.8,687.01,0,0
SHP-000217,2025-05-05,Rotterdam,east,airbridge,3,5,344.3,577.59,1,0
SHP-000218,2025-01-09,Shanghai,east,northstar,2,1,762.6,516.61,0,0
SHP-000219,2025-11-25,Shanghai,west,oceanic,2,2,346.5,217.38,0,0
SHP-000220,2025-08-18,LA,central,airbridge,5,7,76.9,124.8,1,0
SHP-000221,2025-08-24,Dallas,east,swiftline,2,3,175.2,324.95,1,0
SHP-000222,2025-07-21,Chicago,apac,northstar,2,4,203.1,153.69,1,0
SHP-000223,2025-05-03,Shanghai,emea,airbridge,3,2,834.8,735.54,0,0
SHP-000224,2025-12-16,LA,west,swiftline,2,3,437.4,265.12,1,0
SHP-000225,2025-07-19,Chicago,central,airbridge,10,6,9.5,74.14,0,0
SHP-000226,2025-06-02,Chicago,emea,oceanic,5,7,644.7,271.41,1,0
SHP-000227,2025-01-31,LA,central,northstar,5,8,795.2,922.81,1,0
SHP-000228,2025-10-03,Rotterdam,east,northstar,10,12,175.7,242.86,1,0
SHP-000229,2025-03-02,LA,apac,oceanic,3,5,633.4,230.6,1,0
SHP-000230,2025-12-26,Shanghai,apac,northstar,2,5,758.1,761.15,1,0
SHP-000231,2026-02-02,LA,central,northstar,5,4,203.0,324.73,0,0
SHP-000232,2025-08-18,LA,west,northstar,10,7,510.4,376.28,0,0
SHP-000233,2025-11-06,Chicago,apac,airbridge,7,8,532.0,372.98,1,0
SHP-000234,2025-09-22,LA,east,airbridge,10,11,301.5,375.84,1,0
SHP-000235,2025-05-13,Dallas,east,northstar,10,8,53.5,124.28,0,0
SHP-000236,2026-01-25,Rotterdam,emea,swiftline,10,10,460.4,710.67,0,0
SHP-000237,2025-08-30,Rotterdam,emea,northstar,3,3,39.5,80.38,0,0
SHP-000238,2025-10-05,Shanghai,central,swiftline,10,8,368.0,451.24,0,1
SHP-000239,2025-08-31,LA,central,northstar,5,3,638.2,1016.91,0,0
SHP-000240,2025-06-29,LA,central,northstar,3,1,517.5,195.27,0,0
SHP-000241,2025-05-18,Dallas,west,swiftline,5,4,768.1,625.61,0,0
SHP-000242,2025-01-03,Dallas,emea,airbridge,5,5,20.2,67.7,0,0
SHP-000243,2025-12-01,LA,central,northstar,10,6,758.3,392.79,0,0
SHP-000244,2025-12-11,LA,west,northstar,2,1,192.0,276.51,0,0
SHP-000245,2025-05-23,Chicago,east,swiftline,2,1,231.7,402.77,0,0
SHP-000246,2025-09-12,Dallas,east,oceanic,7,6,534.5,413.23,0,0
SHP-000247,2025-12-05,Dallas,emea,airbridge,5,2,577.9,632.32,0,0
SHP-000248,2025-12-07,Dallas,west,oceanic,3,3,411.3,596.57,0,1
SHP-000249,2025-05-25,Dallas,emea,airbridge,3,1,139.2,209.15,0,0
SHP-000250,2025-09-27,Shanghai,central,oceanic,7,7,16.2,75.25,0,0
SHP-000251,2025-12-07,Chicago,west,swiftline,2,2,789.3,1260.16,0,0
SHP-000252,2025-03-08,Shanghai,apac,oceanic,2,2,841.3,1397.72,0,0
SHP-000253,2026-02-11,Dallas,emea,airbridge,10,11,286.2,288.96,1,0
SHP-000254,2025-07-08,Rotterdam,east,northstar,3,3,70.2,117.94,0,0
SHP-000255,2025-07-06,Rotterdam,emea,airbridge,2,1,573.9,875.56,0,0
SHP-000256,2025-03-13,Chicago,apac,northstar,3,2,260.3,145.45,0,0
SHP-000257,2025-03-16,Rotterdam,emea,oceanic,7,7,819.6,589.48,0,1
SHP-000258,2025-03-19,LA,west,northstar,3,4,350.9,200.66,1,0
SHP-000259,2025-02-03,Shanghai,east,swiftline,7,8,99.3,201.92,1,0
SHP-000260,2025-11-23,Rotterdam,west,swiftline,5,4,316.1,282.82,0,0
SHP-000261,2025-07-02,Rotterdam,east,airbridge,5,4,861.1,374.92,0,0
SHP-000262,2026-02-10,Dallas,central,northstar,10,7,430.5,548.75,0,0
SHP-000263,2026-01-08,Shanghai,central,northstar,7,5,681.9,669.21,0,0
SHP-000264,2025-09-22,Shanghai,apac,northstar,5,6,553.0,220.17,1,0
SHP-000265,2025-07-24,LA,east,northstar,5,4,832.9,413.08,0,0
SHP-000266,2025-05-12,Rotterdam,central,airbridge,3,5,493.6,771.45,1,0
SHP-000267,2025-01-12,Rotterdam,east,oceanic,7,11,414.9,327.93,1,0
SHP-000268,2025-12-23,Rotterdam,west,northstar,7,5,315.3,499.9,0,0
SHP-000269,2025-09-22,Shanghai,emea,airbridge,3,1,847.3,625.03,0,0
SHP-000270,2025-12-16,LA,apac,swiftline,10,8,371.1,471.77,0,0
SHP-000271,2025-12-08,LA,west,oceanic,10,11,339.0,387.86,1,0
SHP-000272,2025-07-22,Chicago,central,oceanic,3,4,573.5,377.63,1,0
SHP-000273,2025-08-12,LA,central,airbridge,7,9,192.3,263.07,1,0
SHP-000274,2025-09-28,Shanghai,central,airbridge,7,7,514.1,453.31,0,0
SHP-000275,2025-08-07,Chicago,emea,northstar,3,3,196.5,215.87,0,0
SHP-000276,2025-12-14,Dallas,east,northstar,7,8,432.4,202.18,1,0
SHP-000277,2025-11-13,Chicago,west,swiftline,5,2,338.5,581.34,0,0
SHP-000278,2026-02-11,Chicago,apac,swiftline,10,9,461.5,322.14,0,0
SHP-000279,2025-05-01,Dallas,apac,oceanic,2,2,221.6,219.0,0,0
SHP-000280,2025-11-22,Rotterdam,east,oceanic,10,12,447.5,639.14,1,0
SHP-000281,2025-02-12,Shanghai,east,oceanic,5,3,599.0,252.94,0,0
SHP-000282,2025-01-12,Chicago,central,airbridge,3,5,80.2,90.95,1,0
SHP-000283,2025-07-17,Shanghai,east,airbridge,2,3,160.9,123.54,1,0
SHP-000284,2025-06-28,Shanghai,apac,airbridge,3,4,187.1,181.32,1,0
SHP-000285,2025-12-08,Rotterdam,apac,airbridge,5,9,317.0,183.59,1,0
SHP-000286,2025-02-08,Chicago,central,airbridge,5,4,406.0,233.16,0,0
SHP-000287,2026-01-15,LA,west,oceanic,10,9,579.8,466.65,0,0
SHP-000288,2025-08-03,Shanghai,west,airbridge,5,7,250.3,227.69,1,0
SHP-000289,2025-10-21,Shanghai,emea,swiftline,2,1,227.2,355.03,0,0
SHP-000290,2026-01-08,Shanghai,central,swiftline,3,2,195.2,347.26,0,0
SHP-000291,2025-05-02,Dallas,west,northstar,2,4,528.6,617.1,1,0
SHP-000292,2025-04-19,Dallas,east,airbridge,3,3,668.3,388.59,0,0
SHP-000293,2025-12-20,Shanghai,west,oceanic,10,12,447.6,561.18,1,0
SHP-000294,2025-10-08,Chicago,west,northstar,3,6,421.8,182.37,1,0
SHP-000295,2025-10-16,LA,west,airbridge,5,3,106.4,214.16,0,0
SHP-000296,2025-10-25,LA,apac,oceanic,3,1,374.3,265.02,0,0
SHP-000297,2025-12-19,Dallas,west,airbridge,3,4,292.8,354.81,1,0
SHP-000298,2025-03-12,LA,east,swiftline,3,4,508.2,799.28,1,0
SHP-000299,2025-11-03,Shanghai,west,airbridge,2,2,595.5,632.14,0,0
SHP-000300,2025-02-08,LA,west,oceanic,7,6,478.5,698.68,0,0
SHP-000301,2025-02-07,Dallas,west,northstar,10,11,401.1,462.13,1,0
SHP-000302,2025-07-07,Shanghai,emea,swiftline,2,3,519.4,796.57,1,0
SHP-000303,2025-09-30,Dallas,central,oceanic,7,8,373.4,402.98,1,0
SHP-000304,2025-11-08,Rotterdam,central,oceanic,2,1,551.6,488.06,0,1
SHP-000305,2025-11-12,Rotterdam,west,swiftline,2,1,757.3,283.61,0,0
SHP-000306,2025-05-13,Chicago,east,airbridge,2,3,10.8,50.1,1,0
SHP-000307,2026-01-15,Rotterdam,apac,airbridge,7,7,492.4,318.7,0,0
SHP-000308,2025-08-01,Shanghai,emea,swiftline,5,3,288.8,260.39,0,0
SHP-000309,2025-08-01,Shanghai,west,oceanic,3,2,546.4,222.63,0,0
SHP-000310,2025-04-06,Dallas,apac,oceanic,2,3,303.4,497.32,1,0
SHP-000311,2025-12-23,Rotterdam,central,northstar,10,7,361.6,365.34,0,0
SHP-000312,2025-02-12,Shanghai,east,swiftline,10,6,706.4,489.14,0,0
SHP-000313,2025-02-02,Shanghai,east,airbridge,2,3,500.4,668.91,1,0
SHP-000314,2025-07-20,LA,apac,swiftline,3,1,367.1,616.09,0,0
SHP-000315,2025-06-07,Rotterdam,east,northstar,3,6,841.2,1114.93,1,0
SHP-000316,2025-01-15,Chicago,central,oceanic,10,12,110.7,176.07,1,0
SHP-000317,2025-04-05,Chicago,west,swiftline,2,3,544.0,461.88,1,0
SHP-000318,2025-06-17,LA,east,northstar,7,5,474.5,715.02,0,0
SHP-000319,2025-06-07,Chicago,central,swiftline,3,1,186.8,134.39,0,0
SHP-000320,2026-02-14,LA,east,swiftline,3,3,77.3,141.38,0,0
SHP-000321,2025-03-02,Chicago,east,oceanic,3,4,797.1,451.69,1,0
SHP-000322,2025-05-17,Shanghai,emea,swiftline,3,3,576.4,644.08,0,0
SHP-000323,2025-01-25,Dallas,east,oceanic,3,6,436.0,679.58,1,0
SHP-000324,2025-06-10,LA,central,oceanic,3,2,439.6,408.88,0,1
SHP-000325,2025-12-23,Rotterdam,central,oceanic,3,4,607.5,500.08,1,0
SHP-000326,2025-02-28,Dallas,emea,airbridge,7,6,637.5,260.37,0,0
SHP-000327,2026-02-24,Rotterdam,east,northstar,2,2,357.6,346.15,0,0
SHP-000328,2025-11-22,Chicago,east,northstar,7,6,536.0,766.38,0,0
